@relation CornellMovies_v2

@attribute positive_adjectives_count numeric
@attribute negative_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adverbs_count numeric
@attribute positive_adverbs_count_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_count_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_count_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_count_and_bigrams_with_adverbs numeric
@attribute selected_ngrams_count numeric
@attribute original_document_size numeric
@attribute positive_unigrams_and_bigrams_count numeric
@attribute negative_unigrams_and_bigrams_count numeric
@attribute percentage_of_negated_ngrams_by_document_size numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_count numeric
@attribute positive_unigrams_bigrams_and_trigrams_count numeric
@attribute negative_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_adjectives_sum numeric
@attribute negative_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adverbs_sum numeric
@attribute sum_ratio_of_positive_adjectives numeric
@attribute sum_ratio_of_positive_adverbs numeric
@attribute sum_ratio_of_negative_adjectives numeric
@attribute sum_ratio_of_negative_adverbs numeric
@attribute positive_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_positive_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_negative_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_positive_adverbs_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_negative_adverbs_and_bigrams_with_adverbs numeric
@attribute positive_unigrams_and_bigrams_sum numeric
@attribute negative_unigrams_and_bigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_and_bigrams numeric
@attribute sum_ratio_of_negative_unigrams_and_bigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_sum numeric
@attribute positive_unigrams_bigrams_and_trigrams_sum numeric
@attribute negative_unigrams_bigrams_and_trigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_bigrams_and_trigrams numeric
@attribute sum_ratio_of_negative_unigrams_bigrams_and_trigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_sum numeric
@attribute max_rule_for_adjective numeric
@attribute max_rule_for_adverbs_and_bigrams_with_adverbs numeric
@attribute max_rule_for_adjective_and_bigrams_with_adjectives numeric
@attribute max_rule_for_unigrams_and_bigrams numeric
@attribute max_rule_for_unigrams_bigrams_and_trigrams numeric
@attribute polarity {positive,negative}

@data
21,7,14,1,3,3,22,9,13,0,37,440,25,12,0.004545,13,25,12,13,6.09995,-1.044825,5.055125,0.26579,0.013864,0.000982,-0.002375,-0.000378,0.43205,-0.625,6.38501,-2.039905,4.345105,-0.19295,0.014511,-0.004636,0.000982,-0.00142,6.81706,-2.664905,0.015493,-0.006057,4.152155,6.81706,-2.664905,0.015493,-0.006057,9.481965,0,0,0,0,0,positive
11,6,5,5,6,1,14,9,5,5,30,397,20,10,0.002519,10,20,10,10,2.66856,-3.277785,-0.609225,0.888,0.006722,0.002374,-0.008256,-0.000137,0.94236,-0.05436,3.80248,-4.830325,-1.027845,0.888,0.009578,-0.012167,0.002374,-0.000137,4.74484,-4.884685,0.011952,-0.012304,-0.139845,4.74484,-4.884685,0.011952,-0.012304,9.629525,0,1,0,0,0,negative
14,8,6,2,3,1,17,11,6,2,32,407,20,12,0.004914,8,20,12,8,4.480575,-3.213714,1.266861,0.51469,0.011009,0.001398,-0.007896,-0.000134,0.56905,-0.05436,5.550765,-3.778803,1.771962,0.51469,0.013638,-0.009285,0.001398,-0.000134,6.119815,-3.833163,0.015036,-0.009418,2.286652,6.119815,-3.833163,0.015036,-0.009418,9.952978,0,1,0,0,0,negative
33,7,26,1,4,1,34,10,24,3,49,758,38,11,0.001319,27,38,11,27,10.37647,-2.22243,8.15404,0.183228,0.013689,0.000516,-0.002932,-0.000274,0.947048,-0.207563,10.98161,-2.683635,8.297975,0.739485,0.014488,-0.00354,0.001249,-0.000274,11.928658,-2.891198,0.015737,-0.003814,9.03746,11.928658,-2.891198,0.015737,-0.003814,14.819855,1,1,1,1,1,positive
30,14,16,-3,0,3,36,14,22,-3,53,402,36,17,0.002488,19,36,17,19,8.330595,-5.000595,3.33,-0.559605,0.020723,0,-0.012439,-0.001392,0,-0.559605,10.373206,-5.000595,5.372611,-0.559605,0.025804,-0.012439,0,-0.001392,10.373206,-5.5602,0.025804,-0.013831,4.813006,10.373206,-5.5602,0.025804,-0.013831,15.933406,0,0,0,0,0,positive
28,12,16,1,4,3,32,13,19,1,52,539,36,16,0.001855,20,36,16,20,7.373575,-4.95013,2.423445,-0.703285,0.01368,0.000802,-0.009184,-0.002106,0.43205,-1.135335,8.666938,-5.26017,3.406768,-0.703285,0.01608,-0.009759,0.000802,-0.002106,9.098988,-6.395505,0.016881,-0.011866,2.703483,9.098988,-6.395505,0.016881,-0.011866,15.494493,0,0,0,0,0,positive
62,27,35,3,5,2,66,29,37,3,102,870,71,31,0.002299,40,71,31,40,14.9838,-13.445925,1.537875,0.327945,0.017223,0.000958,-0.015455,-0.000581,0.83319,-0.505245,16.35903,-14.0785,2.28053,0.327945,0.018803,-0.016182,0.000958,-0.000581,17.19222,-14.583745,0.019761,-0.016763,2.608475,17.19222,-14.583745,0.019761,-0.016763,31.775965,0,0,0,0,0,positive
13,7,6,3,5,0,16,7,9,5,28,291,21,7,0,14,21,7,14,4.072765,-2.19408,1.878685,0.318033,0.013996,0.001093,-0.00754,0,0.71111,0,5.934258,-2.19408,3.740178,0.71111,0.020393,-0.00754,0.002444,0,6.645368,-2.19408,0.022836,-0.00754,4.451288,6.645368,-2.19408,0.022836,-0.00754,8.839448,0,1,1,1,1,positive
18,12,6,2,3,1,19,16,3,2,39,417,22,17,0.002398,5,22,17,5,5.436048,-2.44689,2.989158,0.34567,0.013036,0.001045,-0.005868,-0.000216,0.43579,-0.09012,5.638407,-4.278591,1.359816,0.34567,0.013521,-0.01026,0.001045,-0.000216,6.074197,-4.368711,0.014566,-0.010477,1.705486,6.074197,-4.368711,0.014566,-0.010477,10.442908,0,1,0,0,0,positive
33,13,20,2,4,2,43,16,27,2,65,844,47,18,0.004739,29,47,18,29,10.68162,-4.858943,5.822678,0.058185,0.012656,0.000561,-0.005757,-0.000492,0.513907,-0.874528,15.105043,-6.537963,8.56708,-0.36062,0.017897,-0.007746,0.000609,-0.001036,15.61895,-7.41249,0.018506,-0.008783,8.20646,15.61895,-7.41249,0.018506,-0.008783,23.03144,0,0,1,1,1,positive
11,7,4,-1,3,3,13,9,4,0,28,357,16,12,0.002801,4,16,12,4,2.84027,-2.727975,0.112295,0.167705,0.007956,0.001437,-0.007641,-0.000967,0.954458,-0.345165,3.48974,-3.550495,-0.060755,0.609293,0.009775,-0.009945,0.002674,-0.000967,4.444198,-3.89566,0.012449,-0.010912,0.548538,4.444198,-3.89566,0.012449,-0.010912,8.339858,0,1,0,0,0,positive
27,7,20,0,2,1,32,20,12,1,55,537,34,21,0.020484,13,34,21,13,6.405828,-1.998975,4.406853,-0.125043,0.011929,0.000154,-0.003722,-0.000387,0.524107,-0.207563,7.729393,-7.63953,0.089863,0.316545,0.014394,-0.014226,0.000976,-0.000387,8.2535,-7.847093,0.01537,-0.014613,0.406408,8.2535,-7.847093,0.01537,-0.014613,16.100593,0,1,0,0,0,positive
21,13,8,1,4,2,29,19,10,2,54,620,33,21,0.006452,12,33,21,12,5.152625,-3.13839,2.014235,0.541065,0.008311,0.001018,-0.005062,-0.000145,1.076825,-0.09012,8.101748,-6.226555,1.875193,0.986705,0.013067,-0.010043,0.001737,-0.000145,9.178573,-6.316675,0.014804,-0.010188,2.861898,9.178573,-6.316675,0.014804,-0.010188,15.495248,0,1,0,0,0,positive
40,11,29,4,7,2,45,12,33,5,66,696,52,14,0,38,52,14,38,9.08945,-5.52069,3.56876,0.483685,0.01306,0.000934,-0.007932,-0.000239,0.82658,-0.16626,11.05903,-6.27075,4.78828,0.66032,0.015889,-0.00901,0.001188,-0.000239,11.88561,-6.43701,0.017077,-0.009249,5.4486,11.88561,-6.43701,0.017077,-0.009249,18.32262,0,1,0,0,0,positive
23,9,14,-3,0,3,27,17,10,-3,47,530,27,20,0.013208,7,27,20,7,5.866388,-3.568305,2.298083,-0.505245,0.011069,0,-0.006733,-0.000953,0,-0.505245,6.812926,-6.960971,-0.148045,-0.505245,0.012855,-0.013134,0,-0.000953,6.812926,-7.466216,0.012855,-0.014087,-0.65329,6.812926,-7.466216,0.012855,-0.014087,14.279142,0,0,0,0,0,positive
24,9,15,1,3,6,32,18,14,-3,59,624,35,24,0.024038,11,35,24,11,7.609545,-5.12943,2.480115,-0.091955,0.012195,0.000662,-0.00822,-0.00081,0.41329,-1.969875,10.556653,-8.59102,1.965633,-1.556585,0.016918,-0.013768,0.000662,-0.003157,10.969943,-10.560895,0.01758,-0.016925,0.409048,10.969943,-10.560895,0.01758,-0.016925,21.530837,0,0,1,1,1,positive
30,14,16,4,4,0,35,14,21,4,53,741,39,14,0,25,39,14,25,8.12194,-4.055775,4.066165,0.65157,0.010961,0.000879,-0.005473,0,0.65157,0,9.573102,-4.055775,5.517327,0.65157,0.012919,-0.005473,0.000879,0,10.224672,-4.055775,0.013798,-0.005473,6.168897,10.224672,-4.055775,0.013798,-0.005473,14.280447,0,1,0,0,0,positive
18,7,11,0,2,2,21,9,12,0,34,490,23,11,0,12,23,11,12,4.848885,-2.561858,2.287028,-0.206223,0.009896,0.000459,-0.005228,-0.00088,0.449731,-1.06134,5.94461,-2.85736,3.08725,-0.611609,0.012132,-0.005831,0.000918,-0.002166,6.394341,-3.9187,0.01305,-0.007997,2.475641,6.394341,-3.9187,0.01305,-0.007997,10.313041,0,0,0,0,0,positive
16,4,12,4,5,0,23,6,17,5,34,412,28,6,0.004854,22,28,6,22,4.76303,-1.080135,3.682895,0.57663,0.011561,0.0014,-0.002622,0,0.753265,0,8.366588,-1.590085,6.776503,0.753265,0.020307,-0.003859,0.001828,0,9.119853,-1.590085,0.022136,-0.003859,7.529768,9.119853,-1.590085,0.022136,-0.003859,10.709938,1,1,1,1,1,positive
22,11,11,1,3,3,24,13,11,0,43,643,27,16,0.00311,11,27,16,11,7.00231,-3.90546,3.09685,-0.164925,0.01089,0.000736,-0.006074,-0.000993,0.47331,-0.64815,7.85292,-4.620475,3.232445,-0.17484,0.012213,-0.007186,0.000736,-0.001008,8.32623,-5.268625,0.012949,-0.008194,3.057605,8.32623,-5.268625,0.012949,-0.008194,13.594855,1,0,1,1,1,positive
16,6,10,-1,1,2,19,8,11,-1,30,413,20,10,0.002421,10,20,10,10,4.5156,-2.11488,2.40072,0.06494,0.010934,0.000375,-0.005121,-0.000218,0.15506,-0.09012,4.750824,-3.31759,1.433234,0.06494,0.011503,-0.008033,0.000375,-0.000218,4.905884,-3.40771,0.011879,-0.008251,1.498174,4.905884,-3.40771,0.011879,-0.008251,8.313594,0,1,0,0,0,positive
15,5,10,-1,0,1,21,9,12,-1,31,358,21,10,0.00838,11,21,10,11,2.80154,-1.263345,1.538195,-0.09012,0.007826,0,-0.003529,-0.000252,0,-0.09012,5.442694,-2.668475,2.774219,-0.09012,0.015203,-0.007454,0,-0.000252,5.442694,-2.758595,0.015203,-0.007706,2.684099,5.442694,-2.758595,0.015203,-0.007706,8.201289,0,0,0,0,0,positive
28,4,24,5,7,3,33,6,27,4,49,441,40,9,0.006803,31,40,9,31,8.720425,-1.35144,7.368985,0.50527,0.019774,0.00135,-0.003064,-0.000204,0.59539,-0.23685,10.46196,-2.031054,8.430906,0.35854,0.023723,-0.004606,0.00135,-0.000537,11.05735,-2.267904,0.025073,-0.005143,8.789446,11.05735,-2.267904,0.025073,-0.005143,13.325254,0,0,1,1,1,positive
53,16,37,1,4,3,58,19,39,1,84,831,62,22,0.002407,40,62,22,40,13.968321,-6.235125,7.733196,0.03581,0.016809,0.000867,-0.007503,-0.000824,0.72026,-0.68445,14.642385,-7.067822,7.574564,0.03581,0.01762,-0.008505,0.000867,-0.000824,15.362645,-7.752272,0.018487,-0.009329,7.610374,15.362645,-7.752272,0.018487,-0.009329,23.114917,0,0,0,0,0,positive
30,8,22,3,4,1,35,10,25,3,50,494,39,11,0,28,39,11,28,8.46659,-4.97952,3.48707,0.030678,0.017139,0.000902,-0.01008,-0.00084,0.445803,-0.415125,10.13615,-5.570408,4.565743,0.030678,0.020519,-0.011276,0.000902,-0.00084,10.581953,-5.985533,0.021421,-0.012116,4.596421,10.581953,-5.985533,0.021421,-0.012116,16.567486,0,0,0,0,0,positive
14,5,9,1,3,0,21,10,11,3,34,422,24,10,0,14,24,10,14,3.361207,-2.65908,0.702127,0.195395,0.007965,0.000463,-0.006301,0,0.636983,0,5.281652,-6.093761,-0.81211,0.636983,0.012516,-0.01444,0.001509,0,5.918634,-6.093761,0.014025,-0.01444,-0.175127,5.918634,-6.093761,0.014025,-0.01444,12.012395,0,1,0,0,0,positive
28,9,19,-1,3,1,30,10,20,2,44,531,33,11,0.001883,22,33,11,22,7.039323,-3.514275,3.525048,-0.09012,0.013257,0,-0.006618,-0.00017,0.341494,-0.09012,7.701163,-3.805938,3.895225,0.251374,0.014503,-0.007167,0.000643,-0.00017,8.042658,-3.896058,0.015146,-0.007337,4.146599,8.042658,-3.896058,0.015146,-0.007337,11.938716,0,1,0,0,0,positive
39,23,16,-5,0,5,44,28,16,-5,77,811,44,33,0.001233,11,44,33,11,9.34878,-10.37427,-1.02549,-1.14348,0.011527,0,-0.012792,-0.00141,0,-1.14348,11.502101,-13.05589,-1.553789,-1.14348,0.014183,-0.016099,0,-0.00141,11.502101,-14.19937,0.014183,-0.017508,-2.697269,11.502101,-14.19937,0.014183,-0.017508,25.701471,0,0,0,0,0,positive
24,18,6,3,5,1,27,23,4,4,56,672,32,24,0.002976,8,32,24,8,7.140985,-6.06144,1.079545,0.328935,0.010626,0.001107,-0.00902,-0.000618,0.946745,-0.415125,8.13929,-7.955173,0.184117,0.53162,0.012112,-0.011838,0.001409,-0.000618,9.086035,-8.370298,0.013521,-0.012456,0.715737,9.086035,-8.370298,0.013521,-0.012456,17.456333,0,0,0,0,0,negative
21,25,-4,2,2,0,24,26,-2,2,52,573,26,26,0.001745,0,26,26,0,6.021075,-7.21941,-1.198335,0.567425,0.010508,0.00099,-0.012599,0,0.567425,0,7.061355,-7.358115,-0.29676,0.567425,0.012323,-0.012841,0.00099,0,7.62878,-7.358115,0.013314,-0.012841,0.270665,7.62878,-7.358115,0.013314,-0.012841,14.986895,0,1,0,0,0,positive
42,16,26,5,6,0,49,27,22,6,82,939,55,27,0.00213,28,55,27,28,6.901973,-4.451385,2.450588,0.435545,0.00735,0.000464,-0.004741,0,0.597935,0,9.330433,-10.051315,-0.720881,0.597935,0.009937,-0.010704,0.000637,0,9.928368,-10.051315,0.010573,-0.010704,-0.122946,9.928368,-10.051315,0.010573,-0.010704,19.979683,0,1,0,0,0,negative
14,23,-9,2,3,2,21,35,-14,1,61,708,24,37,0.008475,-13,24,37,-13,4.95551,-11.541743,-6.586233,0.369438,0.006999,0.000599,-0.016302,-0.000077,0.423798,-0.537856,6.58836,-17.169647,-10.581287,-0.114058,0.009306,-0.024251,0.000599,-0.00076,7.012158,-17.707503,0.009904,-0.025011,-10.695345,7.012158,-17.707503,0.009904,-0.025011,24.719661,0,0,0,0,0,negative
20,11,9,6,7,2,28,18,10,5,55,581,35,20,0.003442,15,35,20,15,5.104105,-4.011015,1.09309,0.744713,0.008785,0.001375,-0.006904,-0.000094,0.799073,-0.540607,7.0782,-7.91772,-0.83952,0.258467,0.012183,-0.013628,0.001375,-0.00093,7.877273,-8.458327,0.013558,-0.014558,-0.581053,7.877273,-8.458327,0.013558,-0.014558,16.3356,0,0,0,0,0,negative
28,8,20,1,3,3,34,16,18,0,56,742,37,19,0.010782,18,37,19,18,6.696123,-3.045015,3.651108,-0.143225,0.009024,0.001216,-0.004104,-0.001409,0.90199,-1.423135,8.563478,-6.265866,2.297612,-0.521145,0.011541,-0.008445,0.001216,-0.001918,9.465468,-7.689001,0.012757,-0.010363,1.776467,9.465468,-7.689001,0.012757,-0.010363,17.15447,1,0,0,0,0,positive
19,5,14,1,2,2,19,8,11,0,31,370,21,10,0.005405,11,21,10,11,4.20418,-1.48551,2.71867,0.26315,0.011363,0.000955,-0.004015,-0.000244,0.35327,-0.46804,4.20418,-2.175395,2.028785,-0.11477,0.011363,-0.005879,0.000955,-0.001265,4.55745,-2.643435,0.012317,-0.007144,1.914015,4.55745,-2.643435,0.012317,-0.007144,7.200885,1,0,1,1,1,positive
14,5,9,2,2,0,16,5,11,2,23,408,18,5,0.002451,13,18,5,13,4.7529,-3.16521,1.58769,0.39079,0.011649,0.000958,-0.007758,0,0.39079,0,5.195955,-3.16521,2.030745,0.39079,0.012735,-0.007758,0.000958,0,5.586745,-3.16521,0.013693,-0.007758,2.421535,5.586745,-3.16521,0.013693,-0.007758,8.751955,0,1,0,0,0,positive
51,17,34,-4,5,7,55,29,26,-2,96,915,60,36,0.012022,24,60,36,24,11.14771,-5.512185,5.635525,-2.18653,0.012183,0.000462,-0.006024,-0.002852,1.039838,-2.6097,11.45468,-10.405069,1.049611,-1.569863,0.012519,-0.011372,0.001136,-0.002852,12.494518,-13.014769,0.013655,-0.014224,-0.520251,12.494518,-13.014769,0.013655,-0.014224,25.509286,0,0,0,0,0,positive
22,9,13,2,2,0,22,13,9,2,37,381,24,13,0,11,24,13,11,8.91742,-3.562065,5.355355,0.74406,0.023405,0.001953,-0.009349,0,0.74406,0,8.91742,-4.798688,4.118733,0.74406,0.023405,-0.012595,0.001953,0,9.66148,-4.798688,0.025358,-0.012595,4.862793,9.66148,-4.798688,0.025358,-0.012595,14.460168,0,1,0,0,0,positive
14,3,11,4,4,0,16,4,12,4,24,317,20,4,0,16,20,4,16,4.9707,-2.194005,2.776695,0.6682,0.01568,0.002108,-0.006921,0,0.6682,0,5.796495,-2.299125,3.49737,0.6682,0.018285,-0.007253,0.002108,0,6.464695,-2.299125,0.020393,-0.007253,4.16557,6.464695,-2.299125,0.020393,-0.007253,8.76382,0,1,0,0,0,positive
30,9,21,-2,3,6,31,10,21,-3,50,629,34,16,0,18,34,16,18,6.7054,-4.154985,2.550415,-0.088654,0.01066,0.001183,-0.006606,-0.001324,0.74406,-0.936495,7.03294,-4.530045,2.502895,-0.192435,0.011181,-0.007202,0.001183,-0.001489,7.777,-5.46654,0.012364,-0.008691,2.31046,7.777,-5.46654,0.012364,-0.008691,13.24354,0,0,0,0,0,positive
6,3,3,2,2,0,6,6,0,2,14,292,8,6,0.003425,2,8,6,2,1.56036,-0.5364,1.02396,0.35327,0.005344,0.00121,-0.001837,0,0.35327,0,1.56036,-2.17398,-0.61362,0.35327,0.005344,-0.007445,0.00121,0,1.91363,-2.17398,0.006554,-0.007445,-0.26035,1.91363,-2.17398,0.006554,-0.007445,4.08761,1,1,0,0,0,positive
12,6,6,0,0,0,15,8,7,0,23,322,15,8,0.006211,7,15,8,7,4.12693,-1.180635,2.946295,0,0.012817,0,-0.003667,0,0,0,5.516451,-1.68444,3.832011,0,0.017132,-0.005231,0,0,5.516451,-1.68444,0.017132,-0.005231,3.832011,5.516451,-1.68444,0.017132,-0.005231,7.200891,1,-1,1,1,1,positive
11,7,4,0,2,2,12,10,2,0,26,313,14,12,0,2,14,12,2,4.59282,-2.974335,1.618485,0.65394,0.014674,0.002377,-0.009503,-0.000288,0.74406,-0.09012,4.93282,-4.427899,0.504921,0.65394,0.01576,-0.014147,0.002377,-0.000288,5.67688,-4.518019,0.018137,-0.014435,1.158861,5.67688,-4.518019,0.018137,-0.014435,10.194899,1,1,0,0,0,positive
27,28,-1,2,2,0,31,36,-5,2,69,946,33,36,0.004228,-3,33,36,-3,7.64877,-11.338493,-3.689723,0.39079,0.008085,0.000413,-0.011986,0,0.39079,0,9.555396,-14.117911,-4.562515,0.39079,0.010101,-0.014924,0.000413,0,9.946186,-14.117911,0.010514,-0.014924,-4.171725,9.946186,-14.117911,0.010514,-0.014924,24.064097,0,1,1,1,1,positive
13,3,10,-3,1,4,16,5,11,-3,26,413,17,9,0.007264,8,17,9,8,3.36565,-1.11483,2.25082,-0.581385,0.008149,0,-0.002699,-0.001408,0.12208,-0.690595,5.292438,-2.216129,3.076309,-0.568515,0.012815,-0.005366,0.000296,-0.001672,5.414518,-2.906724,0.01311,-0.007038,2.507794,5.414518,-2.906724,0.01311,-0.007038,8.321241,1,0,0,0,0,positive
11,6,5,4,4,0,13,7,6,4,24,269,17,7,0,10,17,7,10,3.907895,-2.20161,1.706285,0.74406,0.014527,0.002766,-0.008184,0,0.74406,0,4.895572,-2.8167,2.078872,0.74406,0.018199,-0.010471,0.002766,0,5.639632,-2.8167,0.020965,-0.010471,2.822932,5.639632,-2.8167,0.020965,-0.010471,8.456332,0,1,0,0,0,positive
63,33,30,0,9,8,78,49,29,1,144,1727,87,57,0.013318,30,87,57,30,10.670406,-11.371733,-0.701326,-0.391903,0.006179,0.000356,-0.006585,-0.000583,1.504272,-1.441248,15.768538,-16.250192,-0.481654,0.063023,0.009131,-0.009409,0.000871,-0.000835,17.27281,-17.691441,0.010002,-0.010244,-0.418631,17.27281,-17.691441,0.010002,-0.010244,34.964251,0,0,1,1,1,positive
22,6,16,-2,0,2,22,6,16,-2,30,304,22,8,0,14,22,8,14,7.66517,-2.080455,5.584715,-0.100035,0.025214,0,-0.006844,-0.000329,0,-0.100035,7.66517,-2.080455,5.584715,-0.100035,0.025214,-0.006844,0,-0.000329,7.66517,-2.18049,0.025214,-0.007173,5.48468,7.66517,-2.18049,0.025214,-0.007173,9.84566,0,0,0,0,0,positive
15,6,9,2,3,1,17,11,6,2,32,270,20,12,0.003704,8,20,12,8,4.72223,-2.670218,2.052013,0.6897,0.01749,0.002756,-0.00989,-0.000201,0.74406,-0.05436,5.21496,-6.009095,-0.794135,0.6897,0.019315,-0.022256,0.002756,-0.000201,5.95902,-6.063455,0.02207,-0.022457,-0.104435,5.95902,-6.063455,0.02207,-0.022457,12.022475,0,1,0,0,0,positive
34,24,10,3,7,3,38,26,12,4,74,760,45,29,0,16,45,29,16,11.74706,-8.671785,3.075275,0.435392,0.015457,0.001309,-0.01141,-0.000736,1.056037,-0.559605,13.37599,-10.435489,2.940501,0.496432,0.0176,-0.013731,0.00139,-0.000736,14.432027,-10.995094,0.01899,-0.014467,3.436933,14.432027,-10.995094,0.01899,-0.014467,25.42712,0,0,0,0,0,positive
16,4,12,-1,2,3,18,4,14,-1,27,277,20,7,0,13,20,7,13,6.12862,-1.96845,4.16017,-0.37899,0.022125,0.000293,-0.007106,-0.001661,0.16239,-0.505245,7.309358,-1.96845,5.340908,-0.342855,0.026388,-0.007106,0.000586,-0.001824,7.471748,-2.473695,0.026974,-0.00893,4.998053,7.471748,-2.473695,0.026974,-0.00893,9.945443,0,0,0,0,0,positive
20,9,11,4,4,0,23,11,12,4,38,438,27,11,0,16,27,11,16,3.98057,-2.021535,1.959035,0.32182,0.009088,0.000735,-0.004615,0,0.32182,0,4.87798,-2.550285,2.327695,0.32182,0.011137,-0.005823,0.000735,0,5.1998,-2.550285,0.011872,-0.005823,2.649515,5.1998,-2.550285,0.011872,-0.005823,7.750085,0,1,0,0,0,positive
32,3,29,1,2,1,36,3,33,1,42,429,38,4,0,34,38,4,34,9.8008,-0.90018,8.90062,0.773305,0.022846,0.002397,-0.002098,-0.000595,1.02835,-0.255045,11.42102,-0.90018,10.52084,0.773305,0.026622,-0.002098,0.002397,-0.000595,12.44937,-1.155225,0.02902,-0.002693,11.294145,12.44937,-1.155225,0.02902,-0.002693,13.604595,1,1,1,1,1,positive
45,15,30,-3,2,5,51,27,24,-3,85,915,53,32,0.014208,21,53,32,21,13.446638,-5.162235,8.284403,-0.107185,0.014696,0.000494,-0.005642,-0.000612,0.45242,-0.559605,15.513981,-9.135635,6.378346,-0.107185,0.016955,-0.009984,0.000494,-0.000612,15.966401,-9.69524,0.01745,-0.010596,6.271161,15.966401,-9.69524,0.01745,-0.010596,25.66164,0,1,0,0,0,positive
24,7,17,-2,1,3,27,8,19,-2,39,482,28,11,0.002075,17,28,11,17,8.56351,-2.557425,6.006085,-0.73874,0.017767,0.000811,-0.005306,-0.002343,0.39079,-1.12953,9.47607,-2.937385,6.538685,-0.73874,0.01966,-0.006094,0.000811,-0.002343,9.86686,-4.066915,0.020471,-0.008438,5.799945,9.86686,-4.066915,0.020471,-0.008438,13.933775,0,0,0,0,0,positive
19,6,13,1,4,3,22,9,13,1,38,533,26,12,0.001876,14,26,12,14,6.83321,-3.113835,3.719375,0.321335,0.01282,0.001551,-0.005842,-0.000948,0.82658,-0.505245,7.42064,-5.38422,2.03642,0.321335,0.013922,-0.010102,0.001551,-0.000948,8.24722,-5.889465,0.015473,-0.01105,2.357755,8.24722,-5.889465,0.015473,-0.01105,14.136685,0,1,0,0,0,positive
64,21,43,-3,0,3,66,24,42,-3,93,801,66,27,0.001248,39,66,27,39,15.47159,-9.750435,5.721155,-0.935835,0.019315,0,-0.012173,-0.001168,0,-0.935835,15.81587,-11.150055,4.665815,-0.935835,0.019745,-0.01392,0,-0.001168,15.81587,-12.08589,0.019745,-0.015089,3.72998,15.81587,-12.08589,0.019745,-0.015089,27.90176,0,0,0,0,0,positive
37,12,25,2,2,0,43,16,27,2,61,587,45,16,0.006814,29,45,16,29,11.527162,-5.57577,5.951392,0.47331,0.019637,0.000806,-0.009499,0,0.47331,0,13.27301,-6.61196,6.66105,0.47331,0.022612,-0.011264,0.000806,0,13.74632,-6.61196,0.023418,-0.011264,7.13436,13.74632,-6.61196,0.023418,-0.011264,20.35828,0,1,0,0,0,positive
25,9,16,3,3,0,30,10,20,3,43,488,33,10,0,23,33,10,23,9.01319,-3.578205,5.434985,0.6929,0.01847,0.00142,-0.007332,0,0.6929,0,10.50701,-4.703355,5.803655,0.6929,0.021531,-0.009638,0.00142,0,11.19991,-4.703355,0.022951,-0.009638,6.496555,11.19991,-4.703355,0.022951,-0.009638,15.903265,0,1,0,0,0,positive
38,13,25,5,8,6,41,16,25,2,72,746,49,22,0.008043,27,50,22,28,9.948413,-7.159695,2.788718,0.076609,0.013336,0.00078,-0.009597,-0.000677,0.581854,-1.847433,10.961013,-8.194638,2.766375,-1.265579,0.014693,-0.010985,0.00078,-0.002476,11.542867,-10.042071,0.015473,-0.013461,1.500796,11.809167,-10.042071,0.01583,-0.013461,21.851239,0,0,0,0,0,positive
22,19,3,1,3,3,25,24,1,0,56,643,28,27,0.004666,1,28,28,0,7.147245,-5.237901,1.909344,0.173553,0.011115,0.000495,-0.008146,-0.000225,0.318033,-0.526723,7.74243,-6.579216,1.163214,-0.20869,0.012041,-0.010232,0.000495,-0.000819,8.060463,-7.105939,0.012536,-0.011051,0.954524,8.060463,-7.465149,0.012536,-0.01161,15.525613,0,0,0,0,0,positive
